21	24	489	215	61	9511	6823	3911	947	942	934	1944	830	237	229	18	104304	64169	32670	41087	80953	31486	35018	11151	2282	24361	5247	22159	12523	7606	29314	10272	9264	13831	4090	8167	8981	15854	15973	9683	2595	6437	3155	2369	2253	623	3069	4012	2604	5818	1768	708	5992	5329	5731	203	210	164	599	195	1461	1244	645	394	694	1046	87	221	145	176	48	15	19	0
22	26	514	260	65	9999	8090	4019	1333	1080	960	2010	992	230	257	18	109243	73879	37406	42132	81765	36827	49062	11298	3934	25601	4941	25947	12818	9127	30782	12202	9508	14093	5821	9574	8973	18425	18168	12851	2691	6109	3408	3012	2241	706	3218	3929	2851	6408	1887	983	7044	5172	6580	189	269	181	612	212	1479	1293	761	460	757	1104	83	185	168	169	50	14	17	0
23	30	569	358	77	10996	10881	4361	2263	1257	1085	2338	1466	307	303	28	117069	96957	47132	44532	86883	47662	82689	11897	8513	26938	4809	38323	13325	12003	35262	17515	9919	16354	11060	11748	9462	20713	20351	19218	3063	8336	4159	4631	2619	1177	3565	5300	4878	7570	2009	1085	8804	6215	8489	277	298	188	899	435	1664	1686	965	473	1023	1107	134	386	257	247	39	15	28	2
24	18	371	127	26	7232	4131	2978	459	526	775	824	303	124	49	5	83129	40611	22910	33515	60971	22056	17672	10313	929	22265	2975	8181	10005	5612	12309	3846	8311	5805	1340	5463	7440	8825	11548	4523	2234	3266	661	471	1155	153	2668	2059	1142	1234	887	344	3776	2393	1985	167	18	178	164	45	729	330	76	222	292	197	60	72	24	56	1	7	3	0
25	19	369	141	30	7300	4372	2794	541	528	742	908	354	123	66	8	83371	44776	22389	35097	59056	21923	20130	8700	1192	21089	2776	9188	10169	5835	13770	4347	7561	6157	1623	5753	7233	9122	10304	4758	2106	3150	874	606	1209	168	2731	2197	1277	1640	847	380	3750	2521	2149	125	36	169	241	89	664	323	119	206	245	292	65	105	29	51	10	5	3	1
26	21	418	171	39	8072	5454	3307	699	668	816	1200	528	146	96	7	91495	52754	27613	36764	66879	27605	26638	10818	1557	23204	3969	13875	10843	6963	18525	6763	8897	8358	2626	6861	7891	10968	13607	6642	2304	3807	1243	1059	1562	353	2797	2419	1653	2435	1058	477	4632	3061	3378	162	43	177	228	82	895	546	217	261	354	371	57	86	42	54	5	2	1	0
27	14	283	72	19	5557	2313	2244	176	298	579	578	150	77	36	2	65742	24478	12635	27836	48547	12639	6663	7827	221	16967	2048	3878	8149	3279	8905	1944	6583	3955	412	3232	6096	5058	6373	1792	1645	1869	451	215	784	58	2081	1307	492	913	498	127	2014	1578	961	110	13	147	56	12	471	222	59	126	123	141	39	25	10	22	1	4	0	0
28	22	416	189	42	8127	5780	3116	829	672	777	1260	587	134	119	5	91099	58128	27462	38094	65021	27213	30635	9129	2044	22343	3882	15298	11135	7307	19714	7297	8007	8791	3071	7272	8034	11236	12232	7247	2172	3297	1547	1353	1556	390	2718	2280	1531	2912	973	460	4568	3109	3369	144	80	173	168	57	929	601	271	267	345	464	46	52	32	65	14	2	3	0
29	25	516	243	57	9918	7942	4239	1212	1003	1027	1840	881	241	191	16	107445	70706	40053	41384	83253	39521	47110	13547	3429	27038	5508	24044	12578	9591	27384	11251	10688	13435	5227	9705	9320	16498	19414	11885	2856	6762	2633	2347	2251	636	3362	4059	3014	5002	1752	844	6842	5000	5892	287	147	193	586	182	1416	1208	500	392	713	776	110	212	144	153	26	14	11	1
3	24	466	221	55	9083	6900	3590	1019	828	891	1654	816	199	173	16	99912	66763	32020	40954	74222	32102	38372	10345	2569	23946	4269	21113	11953	8233	25482	10259	8967	11282	4500	8311	8653	13898	14539	9169	2547	5240	2198	2008	2016	616	3025	3428	2447	4310	1410	616	5840	4300	4954	156	115	175	521	197	1161	929	471	294	590	682	79	177	123	86	19	5	8	0
