8	24	358	220	56	4328	5285	2117	1038	660	547	1323	756	153	214	16
39	11	201	42	13	2801	1203	1482	71	164	358	391	72	44	21	1
15	22	338	189	42	4247	4614	2042	844	608	520	986	559	141	130	7
30	16	241	104	16	3449	2567	1465	369	260	374	448	161	40	27	3
77	20	301	151	39	3940	3654	1777	571	455	471	931	445	112	115	9
86	20	315	157	33	4027	3929	1982	645	515	538	816	399	105	93	3
72	24	351	227	49	4369	5361	2033	1130	635	509	1176	723	133	158	13
97	17	277	111	25	3710	2928	1780	370	339	443	658	251	84	53	6
55	23	378	200	53	4249	5188	2456	875	690	582	1406	696	171	183	17
74	25	383	242	58	4387	5848	2285	1202	777	598	1436	875	177	210	13
52	22	356	187	44	4261	4758	2293	812	659	556	1082	585	159	134	9
7	15	255	85	20	3460	2258	1691	233	316	413	504	186	88	34	2
87	26	375	262	63	4385	6087	2116	1367	728	562	1508	967	162	253	13
83	17	279	111	25	3697	2860	1836	385	390	449	680	222	72	66	7
9	16	274	104	16	3594	2847	1819	367	355	462	463	166	45	23	4
13	25	368	237	63	4327	5547	2179	1135	715	523	1463	902	196	242	21
10	22	324	185	46	4210	4397	1880	800	514	460	1079	575	150	150	15
20	13	226	61	17	3050	1694	1618	135	224	383	468	119	51	28	4
96	22	348	185	46	4252	4644	2186	781	590	523	1188	609	148	139	11
28	22	332	189	42	4207	4606	1975	829	553	524	1022	587	119	119	5
17	12	227	57	9	3058	1719	1696	139	220	442	262	72	38	9	0
14	17	251	113	23	3615	2715	1472	391	311	397	563	237	58	48	4
51	15	263	79	26	3542	2189	1845	193	285	412	741	191	91	66	5
49	19	296	132	39	3888	3335	1827	441	400	445	951	407	121	107	14
19	16	274	89	31	3637	2399	1785	231	314	449	851	234	116	85	10
98	14	233	77	14	3238	2045	1499	215	268	399	372	130	38	19	0
89	25	387	248	52	4444	6120	2376	1289	790	589	1254	838	167	161	12
85	24	374	204	72	4207	5054	2316	805	657	547	1796	883	219	307	29
43	17	280	105	31	3689	2704	1769	308	373	469	830	287	100	77	8
80	15	265	82	23	3535	2317	1825	212	285	441	657	193	83	44	6
79	22	358	187	44	4229	4764	2297	811	663	557	1130	585	149	137	7
75	20	308	146	44	3945	3560	1899	515	455	464	1096	469	143	145	11
25	19	309	141	30	3984	3664	1952	541	462	520	776	354	99	66	8
60	19	316	137	34	3921	3540	2055	489	515	512	880	386	119	90	4
63	21	329	164	46	4139	4123	2033	648	530	512	1141	507	128	158	17
32	17	291	110	26	3746	3004	2033	355	396	509	692	264	84	57	4
65	17	259	100	36	3610	2481	1554	277	301	394	863	281	99	107	15
